Recensement agricole 2020; ; ; ; ; ; ; 
Référentiel géographique : France  par Commune 2020; ; ; ; ; ; ; 
Code;Libellé;Nombre d’exploitations avec des vaches laitières, 2020;Nombre d’exploitations avec des vaches laitières, 2020 - estimation (*=oui);Nombre moyen de vaches nourrices par exploitation, 2020;Nombre moyen de vaches nourrices par exploitation, 2020 - estimation (*=oui);Nombre moyen de vaches laitières par exploitation, 2020;Nombre moyen de vaches laitières par exploitation, 2020 - estimation (*=oui);Nombre de vaches laitières, 2020;Nombre de vaches laitières, 2020 - estimation (*=oui);Nombre de vaches nourrices, 2020;Nombre de vaches nourrices, 2020 - estimation (*=oui);Nombre d’exploitations avec des vaches nourrices, 2020;Nombre d’exploitations avec des vaches nourrices, 2020 - estimation (*=oui)
01231;Manziat;0;;0;;0;;0;;0;;0;
01232;Marboz;8;;52;;75;;599;;309;;6;
01233;Marchamp;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01234;Marignieu;0;;0;;0;;0;;0;;0;
01235;Marlieux;N/A - secret statistique;;22;;N/A - secret statistique;;N/A - secret statistique;;67;;3;
01236;Marsonnas;N/A - secret statistique;;33;;N/A - secret statistique;;N/A - secret statistique;;166;;5;
01237;Martignat;0;;0;;0;;0;;0;;0;
01238;Massieux;0;;0;;0;;0;;0;;0;
01239;Massignieu-de-Rives;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01240;Matafelon-Granges;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01241;Meillonnas;N/A - secret statistique;;29;;N/A - secret statistique;;N/A - secret statistique;;117;;4;
01242;Mérignat;0;;0;;0;;0;;0;;0;
01243;Messimy-sur-Saône;0;;0;;0;;0;;0;;0;
01244;Meximieux;0;;0;;0;;0;;0;;0;
01245;Bohas-Meyriat-Rignat;3;;0;;147;;441;;0;;0;
01246;Mézériat;3;;4;;31;;94;;15;;4;
01247;Mijoux;0;;0;;0;;0;;0;;0;
01248;Mionnay;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01249;Miribel;0;;0;;0;;0;;0;;0;
01250;Misérieux;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01252;Mogneneins;N/A - secret statistique;;14;;N/A - secret statistique;;N/A - secret statistique;;42;;3;
01254;Montagnat;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01255;Montagnieu;0;;0;;0;;0;;0;;0;
01257;Montanges;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01258;Montceaux;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01259;Montcet;3;;N/A - secret statistique;;21;;63;;N/A - secret statistique;;N/A - secret statistique;
01260;Le Montellier;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01261;Monthieux;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01262;Montluel;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01263;Montmerle-sur-Saône;0;;0;;0;;0;;0;;0;
01264;Montracol;3;;N/A - secret statistique;;93;;278;;N/A - secret statistique;;N/A - secret statistique;
01265;Montréal-la-Cluse;0;;N/A - secret statistique;;0;;0;;N/A - secret statistique;;N/A - secret statistique;
01266;Montrevel-en-Bresse;N/A - secret statistique;;34;;N/A - secret statistique;;N/A - secret statistique;;101;;3;
01267;Nurieux-Volognat;3;;N/A - secret statistique;;49;;148;;N/A - secret statistique;;N/A - secret statistique;
01268;Murs-et-Gélignieux;0;;0;;0;;0;;0;;0;
01269;Nantua;0;;0;;0;;0;;0;;0;
01272;Neuville-les-Dames;4;;14;;50;;200;;81;;6;
01273;Neuville-sur-Ain;N/A - secret statistique;;32;;N/A - secret statistique;;N/A - secret statistique;;161;;5;
01274;Les Neyrolles;0;;0;;0;;0;;0;;0;
01275;Neyron;0;;0;;0;;0;;0;;0;
01276;Niévroz;0;;0;;0;;0;;0;;0;
01277;Nivollet-Montgriffon;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
01279;Oncieu;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;;N/A - secret statistique;
01280;Ordonnaz;4;;N/A - secret statistique;;65;;260;;N/A - secret statistique;;N/A - secret statistique;
01281;Ornex;N/A - secret statistique;;0;;N/A - secret statistique;;N/A - secret statistique;;0;;0;
